Query Sequence	GO:EggNOG GO Cellular
jg7367.t1	GO:0016021-integral component of membrane(L=4)
jg7367.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg7367.t1	GO:0031526-brush border membrane(L=4)
jg7367.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg7367.t1	GO:0044444-cytoplasmic part(L=4)
jg7367.t1	GO:0046930-pore complex(L=4)
jg4640.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg7826.t1	GO:0005737-cytoplasm(L=4)
jg7826.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg7826.t1	GO:0044444-cytoplasmic part(L=4)
jg6655.t1	GO:0005737-cytoplasm(L=4)
jg6655.t1	GO:0016021-integral component of membrane(L=4)
jg6655.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg6655.t1	GO:0044444-cytoplasmic part(L=4)
jg5797.t1	GO:0005737-cytoplasm(L=4)
jg5797.t1	GO:0005829-cytosol(L=4)
jg5797.t1	GO:0033643-host cell part(L=4)
jg5797.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg5797.t1	GO:0044444-cytoplasmic part(L=4)
jg5696.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg27896.t1	GO:0005737-cytoplasm(L=4)
jg27896.t1	GO:0016021-integral component of membrane(L=4)
jg27896.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg27896.t1	GO:0044444-cytoplasmic part(L=4)
jg7793.t1	GO:0005737-cytoplasm(L=4)
jg7793.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg7793.t1	GO:0044444-cytoplasmic part(L=4)
jg21032.t1	GO:0016021-integral component of membrane(L=4)
jg8038.t1	GO:0005618-cell wall(L=4)
jg8038.t1	GO:0005737-cytoplasm(L=4)
jg8038.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg8038.t1	GO:0044444-cytoplasmic part(L=4)
jg7000.t1	GO:0005737-cytoplasm(L=4)
jg7000.t1	GO:0005829-cytosol(L=4)
jg7000.t1	GO:0044444-cytoplasmic part(L=4)
jg7743.t1	GO:0005737-cytoplasm(L=4)
jg7743.t1	GO:0005829-cytosol(L=4)
jg7743.t1	GO:0044444-cytoplasmic part(L=4)
jg15628.t1	GO:0005737-cytoplasm(L=4)
jg15628.t1	GO:0005829-cytosol(L=4)
jg15628.t1	GO:0044444-cytoplasmic part(L=4)
jg17090.t1	GO:0005737-cytoplasm(L=4)
jg17090.t1	GO:0005794-Golgi apparatus(L=4)
jg17090.t1	GO:0016021-integral component of membrane(L=4)
jg17090.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg17090.t1	GO:0044444-cytoplasmic part(L=4)
jg14316.t1	GO:0005737-cytoplasm(L=4)
jg14316.t1	GO:0005829-cytosol(L=4)
jg14316.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg14316.t1	GO:0044444-cytoplasmic part(L=4)
jg14316.t1	GO:0090406-pollen tube(L=4)
jg21737.t1	GO:0000151-ubiquitin ligase complex(L=4)
jg21737.t1	GO:0005737-cytoplasm(L=4)
jg21737.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12293.t1	GO:0005737-cytoplasm(L=4)
jg12293.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg12293.t1	GO:0044444-cytoplasmic part(L=4)
jg16414.t1	GO:0005737-cytoplasm(L=4)
jg16414.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg16414.t1	GO:0044444-cytoplasmic part(L=4)
jg15505.t1	GO:0005737-cytoplasm(L=4)
jg15505.t1	GO:0009521-photosystem(L=4)
jg15505.t1	GO:0009579-thylakoid(L=4)
jg15505.t1	GO:0016021-integral component of membrane(L=4)
jg15505.t1	GO:0034357-photosynthetic membrane(L=4)
jg15505.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg15505.t1	GO:0044436-thylakoid part(L=4)
jg15505.t1	GO:0044444-cytoplasmic part(L=4)
jg16785.t1	GO:0005737-cytoplasm(L=4)
jg16785.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg16785.t1	GO:0044444-cytoplasmic part(L=4)
jg1704.t1	GO:0005737-cytoplasm(L=4)
jg1704.t1	GO:0019866-organelle inner membrane(L=4)
jg1704.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg1704.t1	GO:0044444-cytoplasmic part(L=4)
jg13380.t1	GO:0005737-cytoplasm(L=4)
jg13380.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg35550.t1	GO:0005737-cytoplasm(L=4)
jg35550.t1	GO:0009579-thylakoid(L=4)
jg35550.t1	GO:0034357-photosynthetic membrane(L=4)
jg35550.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg35550.t1	GO:0044436-thylakoid part(L=4)
jg35550.t1	GO:0044444-cytoplasmic part(L=4)
jg6236.t1	GO:0005737-cytoplasm(L=4)
jg6236.t1	GO:0009579-thylakoid(L=4)
jg6236.t1	GO:0034357-photosynthetic membrane(L=4)
jg6236.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg6236.t1	GO:0044436-thylakoid part(L=4)
jg6236.t1	GO:0044444-cytoplasmic part(L=4)
jg22102.t1	GO:0005737-cytoplasm(L=4)
jg22102.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg22102.t1	GO:0044444-cytoplasmic part(L=4)
jg14908.t1	GO:0005737-cytoplasm(L=4)
jg14908.t1	GO:0016021-integral component of membrane(L=4)
jg14908.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg14908.t1	GO:0044444-cytoplasmic part(L=4)
jg9316.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg19442.t1	GO:0005737-cytoplasm(L=4)
jg19442.t1	GO:0005783-endoplasmic reticulum(L=4)
jg19442.t1	GO:0005794-Golgi apparatus(L=4)
jg19442.t1	GO:0009579-thylakoid(L=4)
jg19442.t1	GO:0016021-integral component of membrane(L=4)
jg19442.t1	GO:0034357-photosynthetic membrane(L=4)
jg19442.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg19442.t1	GO:0044436-thylakoid part(L=4)
jg19442.t1	GO:0044444-cytoplasmic part(L=4)
jg15167.t1	GO:0005737-cytoplasm(L=4)
jg15167.t1	GO:0005829-cytosol(L=4)
jg15167.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg15167.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg15167.t1	GO:0044444-cytoplasmic part(L=4)
jg24391.t1	GO:0000151-ubiquitin ligase complex(L=4)
jg24391.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg6167.t1	GO:0005737-cytoplasm(L=4)
jg6167.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg6167.t1	GO:0044444-cytoplasmic part(L=4)
jg18174.t1	GO:0016021-integral component of membrane(L=4)
jg14213.t1	GO:0005737-cytoplasm(L=4)
jg14213.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg14213.t1	GO:0044444-cytoplasmic part(L=4)
jg7933.t1	GO:0005737-cytoplasm(L=4)
jg7933.t1	GO:0005829-cytosol(L=4)
jg7933.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg7933.t1	GO:0044444-cytoplasmic part(L=4)
jg9048.t1	GO:0005737-cytoplasm(L=4)
jg9048.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg9048.t1	GO:0044444-cytoplasmic part(L=4)
jg15149.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg10413.t1	GO:0005618-cell wall(L=4)
jg10413.t1	GO:0005737-cytoplasm(L=4)
jg10413.t1	GO:0016021-integral component of membrane(L=4)
jg10413.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg10413.t1	GO:0044444-cytoplasmic part(L=4)
jg21448.t1	GO:0005737-cytoplasm(L=4)
jg21448.t1	GO:0005829-cytosol(L=4)
jg21448.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg21448.t1	GO:0044444-cytoplasmic part(L=4)
jg11448.t1	GO:0005737-cytoplasm(L=4)
jg11448.t1	GO:0005783-endoplasmic reticulum(L=4)
jg11448.t1	GO:0005794-Golgi apparatus(L=4)
jg11448.t1	GO:0016021-integral component of membrane(L=4)
jg11448.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11448.t1	GO:0044444-cytoplasmic part(L=4)
jg16064.t1	GO:0005737-cytoplasm(L=4)
jg2174.t1	GO:0005737-cytoplasm(L=4)
jg2174.t1	GO:0005794-Golgi apparatus(L=4)
jg2174.t1	GO:0016021-integral component of membrane(L=4)
jg2174.t1	GO:0031301-integral component of organelle membrane(L=4)
jg2174.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg2174.t1	GO:0044444-cytoplasmic part(L=4)
jg14063.t1	GO:0005737-cytoplasm(L=4)
jg14063.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg22983.t1	GO:0005737-cytoplasm(L=4)
jg22983.t1	GO:0016021-integral component of membrane(L=4)
jg22983.t1	GO:0019031-viral envelope(L=4)
jg22983.t1	GO:0019866-organelle inner membrane(L=4)
jg22983.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg22983.t1	GO:0044444-cytoplasmic part(L=4)
jg14722.t1	GO:0005737-cytoplasm(L=4)
jg14722.t1	GO:0019866-organelle inner membrane(L=4)
jg14722.t1	GO:0031970-organelle envelope lumen(L=4)
jg14722.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg14722.t1	GO:0044444-cytoplasmic part(L=4)
jg14722.t1	GO:0044455-mitochondrial membrane part(L=4)
jg5298.t1	GO:0005737-cytoplasm(L=4)
jg5298.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg5298.t1	GO:0044444-cytoplasmic part(L=4)
jg4238.t1	GO:0005737-cytoplasm(L=4)
jg4238.t1	GO:0016021-integral component of membrane(L=4)
jg4238.t1	GO:0031301-integral component of organelle membrane(L=4)
jg4238.t1	GO:0031968-organelle outer membrane(L=4)
jg4238.t1	GO:0032592-integral component of mitochondrial membrane(L=4)
jg4238.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg4238.t1	GO:0044444-cytoplasmic part(L=4)
jg4238.t1	GO:0044455-mitochondrial membrane part(L=4)
jg15526.t1	GO:0005737-cytoplasm(L=4)
jg15526.t1	GO:0005829-cytosol(L=4)
jg15526.t1	GO:0044444-cytoplasmic part(L=4)
jg3123.t1	GO:0005737-cytoplasm(L=4)
jg3123.t1	GO:0005794-Golgi apparatus(L=4)
jg3123.t1	GO:0016021-integral component of membrane(L=4)
jg3123.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg3123.t1	GO:0044444-cytoplasmic part(L=4)
jg34527.t1	GO:0005737-cytoplasm(L=4)
jg34527.t1	GO:0005794-Golgi apparatus(L=4)
jg34527.t1	GO:0005829-cytosol(L=4)
jg34527.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg34527.t1	GO:0044444-cytoplasmic part(L=4)
jg16121.t1	GO:0005737-cytoplasm(L=4)
jg16121.t1	GO:0005783-endoplasmic reticulum(L=4)
jg16121.t1	GO:0005794-Golgi apparatus(L=4)
jg16121.t1	GO:0005887-integral component of plasma membrane(L=4)
jg16121.t1	GO:0012506-vesicle membrane(L=4)
jg16121.t1	GO:0016021-integral component of membrane(L=4)
jg16121.t1	GO:0031205-endoplasmic reticulum Sec complex(L=4)
jg16121.t1	GO:0031410-cytoplasmic vesicle(L=4)
jg16121.t1	GO:0034702-ion channel complex(L=4)
jg16121.t1	GO:0043190-ATP-binding cassette (ABC) transporter complex(L=4)
jg16121.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg16121.t1	GO:0044444-cytoplasmic part(L=4)
jg24462.t1	GO:0005618-cell wall(L=4)
jg24462.t1	GO:0005737-cytoplasm(L=4)
jg24462.t1	GO:0009579-thylakoid(L=4)
jg24462.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg24462.t1	GO:0044444-cytoplasmic part(L=4)
jg21879.t1	GO:0005737-cytoplasm(L=4)
jg21879.t1	GO:0005829-cytosol(L=4)
jg21879.t1	GO:0044444-cytoplasmic part(L=4)
jg5065.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg30087.t1	GO:0005737-cytoplasm(L=4)
jg30087.t1	GO:0005829-cytosol(L=4)
jg30087.t1	GO:0044444-cytoplasmic part(L=4)
jg7489.t1	GO:0005737-cytoplasm(L=4)
jg7489.t1	GO:0005783-endoplasmic reticulum(L=4)
jg7489.t1	GO:0005829-cytosol(L=4)
jg7489.t1	GO:0016021-integral component of membrane(L=4)
jg7489.t1	GO:0032154-cleavage furrow(L=4)
jg7489.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg7489.t1	GO:0044444-cytoplasmic part(L=4)
jg21159.t1	GO:0005618-cell wall(L=4)
jg21159.t1	GO:0005737-cytoplasm(L=4)
jg21159.t1	GO:0005829-cytosol(L=4)
jg21159.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg21159.t1	GO:0044444-cytoplasmic part(L=4)
jg21159.t1	GO:0070062-extracellular exosome(L=4)
jg15627.t1	GO:0005737-cytoplasm(L=4)
jg15627.t1	GO:0005829-cytosol(L=4)
jg15627.t1	GO:0044444-cytoplasmic part(L=4)
jg15724.t1	GO:0005737-cytoplasm(L=4)
jg15724.t1	GO:0016469-proton-transporting two-sector ATPase complex(L=4)
jg15724.t1	GO:0019866-organelle inner membrane(L=4)
jg15724.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg15724.t1	GO:0044444-cytoplasmic part(L=4)
jg15724.t1	GO:0044455-mitochondrial membrane part(L=4)
jg15724.t1	GO:0045259-proton-transporting ATP synthase complex(L=4)
jg15724.t1	GO:0045261-proton-transporting ATP synthase complex, catalytic core F(1)(L=4)
jg15724.t1	GO:0045267-proton-transporting ATP synthase, catalytic core(L=4)
jg20565.t1	GO:0005618-cell wall(L=4)
jg26405.t1	GO:0005737-cytoplasm(L=4)
jg26405.t1	GO:0005794-Golgi apparatus(L=4)
jg26405.t1	GO:0005829-cytosol(L=4)
jg26405.t1	GO:0012506-vesicle membrane(L=4)
jg26405.t1	GO:0030117-membrane coat(L=4)
jg26405.t1	GO:0030120-vesicle coat(L=4)
jg26405.t1	GO:0031410-cytoplasmic vesicle(L=4)
jg26405.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg26405.t1	GO:0044444-cytoplasmic part(L=4)
jg35292.t1	GO:0005737-cytoplasm(L=4)
jg35292.t1	GO:0005794-Golgi apparatus(L=4)
jg35292.t1	GO:0016021-integral component of membrane(L=4)
jg35292.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg35292.t1	GO:0044444-cytoplasmic part(L=4)
jg27916.t1	GO:0005737-cytoplasm(L=4)
jg27916.t1	GO:0005794-Golgi apparatus(L=4)
jg27916.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg27916.t1	GO:0044444-cytoplasmic part(L=4)
jg14907.t1	GO:0005737-cytoplasm(L=4)
jg14907.t1	GO:0016021-integral component of membrane(L=4)
jg14907.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg14907.t1	GO:0044444-cytoplasmic part(L=4)
jg11311.t1	GO:0016021-integral component of membrane(L=4)
jg3893.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg4817.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg9321.t1	GO:0005737-cytoplasm(L=4)
jg9321.t1	GO:0005794-Golgi apparatus(L=4)
jg9321.t1	GO:0016021-integral component of membrane(L=4)
jg9321.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg9321.t1	GO:0044444-cytoplasmic part(L=4)
jg25812.t1	GO:0005737-cytoplasm(L=4)
jg25812.t1	GO:0031968-organelle outer membrane(L=4)
jg25812.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg25812.t1	GO:0044444-cytoplasmic part(L=4)
jg14388.t1	GO:0005737-cytoplasm(L=4)
jg14388.t1	GO:0009579-thylakoid(L=4)
jg14388.t1	GO:0034357-photosynthetic membrane(L=4)
jg14388.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg14388.t1	GO:0044436-thylakoid part(L=4)
jg14388.t1	GO:0044444-cytoplasmic part(L=4)
jg28602.t1	GO:0005737-cytoplasm(L=4)
jg28602.t1	GO:0016021-integral component of membrane(L=4)
jg28602.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg28602.t1	GO:0044444-cytoplasmic part(L=4)
jg25182.t1	GO:0005737-cytoplasm(L=4)
jg25182.t1	GO:0005829-cytosol(L=4)
jg25182.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg25182.t1	GO:0044444-cytoplasmic part(L=4)
jg35567.t1	GO:0005737-cytoplasm(L=4)
jg35567.t1	GO:0009521-photosystem(L=4)
jg35567.t1	GO:0009579-thylakoid(L=4)
jg35567.t1	GO:0034357-photosynthetic membrane(L=4)
jg35567.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg35567.t1	GO:0044436-thylakoid part(L=4)
jg35567.t1	GO:0044444-cytoplasmic part(L=4)
jg7010.t1	GO:0016021-integral component of membrane(L=4)
jg27115.t1	GO:0005737-cytoplasm(L=4)
jg27115.t1	GO:0005829-cytosol(L=4)
jg27115.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg27115.t1	GO:0044444-cytoplasmic part(L=4)
jg3589.t1	GO:0005737-cytoplasm(L=4)
jg3589.t1	GO:0005794-Golgi apparatus(L=4)
jg3589.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg3589.t1	GO:0044444-cytoplasmic part(L=4)
jg35703.t1	GO:0005737-cytoplasm(L=4)
jg35703.t1	GO:0005794-Golgi apparatus(L=4)
jg35703.t1	GO:0016021-integral component of membrane(L=4)
jg35703.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg35703.t1	GO:0044444-cytoplasmic part(L=4)
jg3168.t1	GO:0005737-cytoplasm(L=4)
jg3168.t1	GO:0005794-Golgi apparatus(L=4)
jg3168.t1	GO:0016021-integral component of membrane(L=4)
jg3168.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg3168.t1	GO:0044444-cytoplasmic part(L=4)
jg15936.t1	GO:0005737-cytoplasm(L=4)
jg8599.t1	GO:0005737-cytoplasm(L=4)
jg16075.t1	GO:0005737-cytoplasm(L=4)
jg16075.t1	GO:0005829-cytosol(L=4)
jg16075.t1	GO:0016021-integral component of membrane(L=4)
jg16075.t1	GO:0043005-neuron projection(L=4)
jg16075.t1	GO:0043025-neuronal cell body(L=4)
jg16075.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg16075.t1	GO:0044444-cytoplasmic part(L=4)
jg11657.t1	GO:0005737-cytoplasm(L=4)
jg11657.t1	GO:0005829-cytosol(L=4)
jg11657.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg11657.t1	GO:0044444-cytoplasmic part(L=4)
jg20931.t1	GO:0005737-cytoplasm(L=4)
jg20931.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg20931.t1	GO:0044444-cytoplasmic part(L=4)
jg29300.t1	GO:0005618-cell wall(L=4)
jg29300.t1	GO:0005737-cytoplasm(L=4)
jg29300.t1	GO:0005794-Golgi apparatus(L=4)
jg29300.t1	GO:0031970-organelle envelope lumen(L=4)
jg29300.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg29300.t1	GO:0044444-cytoplasmic part(L=4)
jg15807.t1	GO:0005737-cytoplasm(L=4)
jg15807.t1	GO:0005783-endoplasmic reticulum(L=4)
jg15807.t1	GO:0005829-cytosol(L=4)
jg15807.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg15807.t1	GO:0044444-cytoplasmic part(L=4)
jg36673.t1	GO:0005737-cytoplasm(L=4)
jg36673.t1	GO:0005783-endoplasmic reticulum(L=4)
jg36673.t1	GO:0016021-integral component of membrane(L=4)
jg36673.t1	GO:0030176-integral component of endoplasmic reticulum membrane(L=4)
jg36673.t1	GO:0031301-integral component of organelle membrane(L=4)
jg36673.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg36673.t1	GO:0044444-cytoplasmic part(L=4)
jg25008.t1	GO:0005737-cytoplasm(L=4)
jg25008.t1	GO:0005794-Golgi apparatus(L=4)
jg25008.t1	GO:0016021-integral component of membrane(L=4)
jg25008.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg25008.t1	GO:0044444-cytoplasmic part(L=4)
jg29936.t1	GO:0005737-cytoplasm(L=4)
jg29936.t1	GO:0005829-cytosol(L=4)
jg29936.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg29936.t1	GO:0044444-cytoplasmic part(L=4)
jg15477.t1	GO:0005737-cytoplasm(L=4)
jg15477.t1	GO:0005881-cytoplasmic microtubule(L=4)
jg15477.t1	GO:0044444-cytoplasmic part(L=4)
jg31698.t1	GO:0005737-cytoplasm(L=4)
jg31698.t1	GO:0005829-cytosol(L=4)
jg31698.t1	GO:0016021-integral component of membrane(L=4)
jg31698.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg31698.t1	GO:0044444-cytoplasmic part(L=4)
jg25807.t1	GO:0005635-nuclear envelope(L=4)
jg25807.t1	GO:0005737-cytoplasm(L=4)
jg25807.t1	GO:0005783-endoplasmic reticulum(L=4)
jg25807.t1	GO:0005829-cytosol(L=4)
jg25807.t1	GO:0005887-integral component of plasma membrane(L=4)
jg25807.t1	GO:0016021-integral component of membrane(L=4)
jg25807.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg25807.t1	GO:0044444-cytoplasmic part(L=4)
jg8577.t1	GO:0005737-cytoplasm(L=4)
jg8577.t1	GO:0009579-thylakoid(L=4)
jg8577.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg8577.t1	GO:0044444-cytoplasmic part(L=4)
jg24150.t1	GO:0005737-cytoplasm(L=4)
jg24150.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg24150.t1	GO:0044444-cytoplasmic part(L=4)
jg15551.t1	GO:0005635-nuclear envelope(L=4)
jg15551.t1	GO:0005737-cytoplasm(L=4)
jg15551.t1	GO:0005783-endoplasmic reticulum(L=4)
jg15551.t1	GO:0005829-cytosol(L=4)
jg15551.t1	GO:0005887-integral component of plasma membrane(L=4)
jg15551.t1	GO:0016021-integral component of membrane(L=4)
jg15551.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg15551.t1	GO:0044444-cytoplasmic part(L=4)
jg6413.t1	GO:0005737-cytoplasm(L=4)
jg6413.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg6413.t1	GO:0044444-cytoplasmic part(L=4)
jg12799.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg15214.t1	GO:0005737-cytoplasm(L=4)
jg15214.t1	GO:0005783-endoplasmic reticulum(L=4)
jg15214.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg15214.t1	GO:0044444-cytoplasmic part(L=4)
jg8659.t1	GO:0005737-cytoplasm(L=4)
jg8659.t1	GO:0005929-cilium(L=4)
jg8659.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg8659.t1	GO:0044444-cytoplasmic part(L=4)
jg26542.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg18526.t1	GO:0005737-cytoplasm(L=4)
jg18526.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg18526.t1	GO:0044444-cytoplasmic part(L=4)
jg20528.t1	GO:0005618-cell wall(L=4)
jg20528.t1	GO:0005737-cytoplasm(L=4)
jg20528.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg20528.t1	GO:0044444-cytoplasmic part(L=4)
jg14109.t1	GO:0005737-cytoplasm(L=4)
jg14109.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg14109.t1	GO:0044444-cytoplasmic part(L=4)
jg16003.t1	GO:0005737-cytoplasm(L=4)
jg16003.t1	GO:0005829-cytosol(L=4)
jg16003.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg16003.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg16003.t1	GO:0044444-cytoplasmic part(L=4)
jg22801.t1	GO:0005737-cytoplasm(L=4)
jg22801.t1	GO:0005829-cytosol(L=4)
jg22801.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg22801.t1	GO:0044444-cytoplasmic part(L=4)
jg3992.t1	GO:0005737-cytoplasm(L=4)
jg3992.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg3992.t1	GO:0044444-cytoplasmic part(L=4)
jg13681.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg29106.t1	GO:0005737-cytoplasm(L=4)
jg29106.t1	GO:0005783-endoplasmic reticulum(L=4)
jg29106.t1	GO:0016021-integral component of membrane(L=4)
jg29106.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg29106.t1	GO:0044444-cytoplasmic part(L=4)
jg30432.t1	GO:0005737-cytoplasm(L=4)
jg30432.t1	GO:0019866-organelle inner membrane(L=4)
jg30432.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg30432.t1	GO:0044444-cytoplasmic part(L=4)
jg27124.t1	GO:0005737-cytoplasm(L=4)
jg27124.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg27124.t1	GO:0044444-cytoplasmic part(L=4)
jg7815.t1	GO:0005737-cytoplasm(L=4)
jg7815.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg7815.t1	GO:0044444-cytoplasmic part(L=4)
jg21739.t1	GO:0005737-cytoplasm(L=4)
jg21739.t1	GO:0009579-thylakoid(L=4)
jg21739.t1	GO:0034357-photosynthetic membrane(L=4)
jg21739.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg21739.t1	GO:0044436-thylakoid part(L=4)
jg21739.t1	GO:0044444-cytoplasmic part(L=4)
jg15794.t1	GO:0005737-cytoplasm(L=4)
jg15794.t1	GO:0005794-Golgi apparatus(L=4)
jg15794.t1	GO:0005829-cytosol(L=4)
jg15794.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg15794.t1	GO:0044444-cytoplasmic part(L=4)
jg14748.t1	GO:0005737-cytoplasm(L=4)
jg14748.t1	GO:0005794-Golgi apparatus(L=4)
jg14748.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg14748.t1	GO:0044444-cytoplasmic part(L=4)
jg373.t1	GO:0005737-cytoplasm(L=4)
jg373.t1	GO:0005829-cytosol(L=4)
jg373.t1	GO:0044444-cytoplasmic part(L=4)
jg35488.t1	GO:0016021-integral component of membrane(L=4)
jg35488.t1	GO:0031225-anchored component of membrane(L=4)
jg26000.t1	GO:0005737-cytoplasm(L=4)
jg26000.t1	GO:0005829-cytosol(L=4)
jg26000.t1	GO:0030529-intracellular ribonucleoprotein complex(L=4)
jg26000.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg26000.t1	GO:0044444-cytoplasmic part(L=4)
jg10239.t1	GO:0005737-cytoplasm(L=4)
jg10239.t1	GO:0016021-integral component of membrane(L=4)
jg10239.t1	GO:0019866-organelle inner membrane(L=4)
jg10239.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg10239.t1	GO:0044444-cytoplasmic part(L=4)
jg10239.t1	GO:0044455-mitochondrial membrane part(L=4)
jg21092.t1	GO:0005694-chromosome(L=4)
jg21092.t1	GO:0005737-cytoplasm(L=4)
jg21092.t1	GO:0043231-intracellular membrane-bounded organelle(L=4)
jg21092.t1	GO:0044444-cytoplasmic part(L=4)
